"","seqnames","start","end","width","strand","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","ensembl_gene_id","gene_name"
"1","15",59493107,59493107,1,"*",59372693,59523555,150863,"+",0,"inside",0,"ENSG00000157470","FAM81A"
"2","2",104843805,104843805,1,"*",104794848,104853183,58336,"-",0,"inside",0,"ENSG00000233639","PANTR1"
"3","16",31426462,31426462,1,"*",31393335,31426505,33171,"+",0,"inside",0,"ENSG00000156886","ITGAD"
"4","6",127118061,127118061,1,"*",126304223,127213609,909387,"-",0,"inside",0,"ENSG00000286215",""
"5","6",127118061,127118061,1,"*",127118671,127199481,80811,"+",609,"upstream",609,"ENSG00000146374","RSPO3"
"6","1",206909555,206909555,1,"*",206903317,206923247,19931,"-",0,"inside",0,"ENSG00000162894","FCMR"
"7","19",50517943,50517943,1,"*",50516892,50568435,51544,"-",0,"inside",0,"ENSG00000131409","LRRC4B"
"8","11",61516393,61516393,1,"*",61513714,61581148,67435,"-",0,"inside",0,"ENSG00000011347","SYT7"
"9","2",201866169,201866169,1,"*",201790461,201895550,105090,"+",0,"inside",0,"ENSG00000138395","CDK15"
"10","1",90717432,90717432,1,"*",90711539,90717302,5764,"-",129,"upstream",129,"ENSG00000143032","BARHL2"
"11","4",89111831,89111831,1,"*",88725955,89111398,385444,"-",432,"upstream",432,"ENSG00000138640","FAM13A"
"12","4",89111831,89111831,1,"*",89111533,89114901,3369,"+",0,"inside",0,"ENSG00000180346","TIGD2"
"13","16",49277992,49277992,1,"*",49277917,49281838,3922,"-",0,"inside",0,"ENSG00000102924","CBLN1"
"14","11",4368626,4368626,1,"*",4367263,4368386,1124,"-",239,"upstream",239,"ENSG00000221996","OR52B4"
"15","6",33898539,33898539,1,"*",33891327,33927631,36305,"+",0,"inside",0,"ENSG00000233183",""
"16","6",33898539,33898539,1,"*",33899135,33899200,66,"+",595,"upstream",595,"ENSG00000276824","MIR7159"
"17","7",101087239,101087239,1,"*",101085481,101097967,12487,"+",0,"inside",0,"ENSG00000169871","TRIM56"
"18","2",9218448,9218448,1,"*",9206765,9405683,198919,"+",0,"inside",0,"ENSG00000151693","ASAP2"
"19","17",7854651,7854651,1,"*",7855066,7856099,1034,"+",414,"upstream",414,"ENSG00000167874","TMEM88"
"20","17",7854651,7854651,1,"*",7834217,7854796,20580,"+",0,"inside",0,"ENSG00000132510","KDM6B"
"21","15",58987504,58987504,1,"*",58865175,59097419,232245,"+",0,"inside",0,"ENSG00000157450","RNF111"
"22","12",109716424,109716424,1,"*",109713825,109770495,56671,"+",0,"inside",0,"ENSG00000139438","FAM222A"
"23","16",86722026,86722026,1,"*",86710122,86742083,31962,"+",0,"inside",0,"ENSG00000261175","LINC02188"
"24","16",86722026,86722026,1,"*",86720575,86722042,1468,"-",0,"inside",0,"ENSG00000260026","LINC02189"
"25","2",9424119,9424119,1,"*",9423651,9473101,49451,"+",0,"inside",0,"ENSG00000119203","CPSF3"
"26","2",9424119,9424119,1,"*",9403475,9423528,20054,"-",590,"upstream",590,"ENSG00000119185","ITGB1BP1"
"27","18",24397744,24397744,1,"*",24162045,24397880,235836,"-",0,"inside",0,"ENSG00000141447","OSBPL1A"
"28","17",7854615,7854615,1,"*",7855066,7856099,1034,"+",450,"upstream",450,"ENSG00000167874","TMEM88"
"29","17",7854615,7854615,1,"*",7834217,7854796,20580,"+",0,"inside",0,"ENSG00000132510","KDM6B"
"30","12",31370063,31370063,1,"*",31363481,31369301,5821,"-",761,"upstream",761,"ENSG00000256232","LINC02387"
"31","19",7846309,7846309,1,"*",7830233,7864976,34744,"+",0,"inside",0,"ENSG00000142459","EVI5L"
"32","6",167824714,167824714,1,"*",167796647,167825145,28499,"+",0,"inside",0,"ENSG00000285212",""
"33","6",167824714,167824714,1,"*",167822103,167826812,4710,"-",0,"inside",0,"ENSG00000198221","AFDN-DT"
"34","20",25082118,25082118,1,"*",25070885,25082141,11257,"-",0,"inside",0,"ENSG00000100987","VSX1"
"35","6",93419171,93419171,1,"*",93416951,93677954,261004,"+",0,"inside",0,"ENSG00000287683",""
"36","6",93419171,93419171,1,"*",93240020,93419687,179668,"-",0,"inside",0,"ENSG00000135333","EPHA7"
"37","13",99655932,99655932,1,"*",99606669,99897134,290466,"+",0,"inside",0,"ENSG00000125246","CLYBL"
"38","10",2498719,2498719,1,"*",2499721,2500570,850,"+",1001,"upstream",1001,"ENSG00000237500",""
"39","10",2498719,2498719,1,"*",2368561,2502200,133640,"-",0,"inside",0,"ENSG00000234170","LINC02645"
"40","12",67535020,67535020,1,"*",67443105,67590771,147667,"+",0,"inside",0,"ENSG00000203585","LINC02408"
"41","14",49621542,49621542,1,"*",49620815,49623480,2666,"-",0,"inside",0,"ENSG00000258377",""
"42","14",49621542,49621542,1,"*",49620799,49623481,2683,"+",0,"inside",0,"ENSG00000168282","MGAT2"
"43","14",49621542,49621542,1,"*",49618530,49620626,2097,"-",915,"upstream",915,"ENSG00000165502","RPL36AL"
"44","17",44384892,44384892,1,"*",44372180,44389649,17470,"-",0,"inside",0,"ENSG00000005961","ITGA2B"
"45","14",22981318,22981318,1,"*",22946270,22982258,35989,"-",0,"inside",0,"ENSG00000259132",""
"46","14",22981318,22981318,1,"*",22971177,22982551,11375,"-",0,"inside",0,"ENSG00000129474","AJUBA"
"47","14",22981318,22981318,1,"*",22982698,22999078,16381,"+",1379,"upstream",1379,"ENSG00000258457",""
"48","19",1439986,1439986,1,"*",1440839,1441938,1100,"+",852,"upstream",852,"ENSG00000268798",""
"49","19",1439986,1439986,1,"*",1438358,1440495,2138,"+",0,"inside",0,"ENSG00000115268","RPS15"
"50","1",6330733,6330733,1,"*",6264269,6393767,129499,"-",0,"inside",0,"ENSG00000097021","ACOT7"
"51","5",135033426,135033426,1,"*",135033280,135358219,324940,"+",0,"inside",0,"ENSG00000224186","C5orf66"
"52","5",135033426,135033426,1,"*",135027734,135034813,7080,"-",0,"inside",0,"ENSG00000069011","PITX1"
"53","5",135033426,135033426,1,"*",135034521,135035894,1374,"+",1094,"upstream",1094,"ENSG00000277619",""
"54","16",4261798,4261798,1,"*",4257186,4273075,15890,"-",0,"inside",0,"ENSG00000090447","TFAP4"
"55","5",136080723,136080723,1,"*",136080470,136080597,128,"-",125,"upstream",125,"ENSG00000270123","VTRNA2-1"
"56","5",136080723,136080723,1,"*",136080497,136080597,101,"-",125,"upstream",125,"ENSG00000278815","Vault"
"57","4",110612361,110612361,1,"*",110595513,110615458,19946,"-",0,"inside",0,"ENSG00000250103","PANCR"
"58","8",141277165,141277165,1,"*",141207166,141308305,101140,"-",0,"inside",0,"ENSG00000022567","SLC45A4"
"59","8",141277165,141277165,1,"*",141278228,141292862,14635,"+",1062,"upstream",1062,"ENSG00000254197",""
"60","7",106484722,106484722,1,"*",106425278,106511544,86267,"+",0,"inside",0,"ENSG00000286076",""
"61","7",106484722,106484722,1,"*",106372251,106770207,397957,"-",0,"inside",0,"ENSG00000243797",""
"62","12",75511766,75511766,1,"*",75490863,75511636,20774,"-",129,"upstream",129,"ENSG00000111615","KRR1"
"63","1",44739742,44739742,1,"*",44739818,44767767,27950,"+",75,"upstream",75,"ENSG00000142945","KIF2C"
"64","7",37448030,37448030,1,"*",36852906,37449223,596318,"-",0,"inside",0,"ENSG00000155849","ELMO1"
"65","6",113971367,113971367,1,"*",113933028,114011308,78281,"-",0,"inside",0,"ENSG00000196591","HDAC2"
"66","6",113971367,113971367,1,"*",113969701,114471705,502005,"+",0,"inside",0,"ENSG00000228624","HDAC2-AS2"
"67","12",112978485,112978485,1,"*",112907628,113017751,110124,"-",0,"inside",0,"ENSG00000257452",""
"68","12",112978485,112978485,1,"*",112978395,113011723,33329,"+",0,"inside",0,"ENSG00000111335","OAS2"
"69","14",102930553,102930553,1,"*",102922663,102933596,10934,"+",0,"inside",0,"ENSG00000166126","AMN"
"70","10",18145139,18145139,1,"*",18140424,18543557,403134,"+",0,"inside",0,"ENSG00000165995","CACNB2"
"71","17",81717745,81717745,1,"*",81703371,81720539,17169,"+",0,"inside",0,"ENSG00000262660",""
"72","17",81717745,81717745,1,"*",81712236,81721016,8781,"+",0,"inside",0,"ENSG00000183048","SLC25A10"
"73","13",80336628,80336628,1,"*",80335976,80341126,5151,"-",0,"inside",0,"ENSG00000136158","SPRY2"
"74","4",1002997,1002997,1,"*",986997,1004564,17568,"+",0,"inside",0,"ENSG00000127415","IDUA"
"75","2",241148889,241148889,1,"*",241149576,241183652,34077,"+",686,"upstream",686,"ENSG00000115685","PPP1R7"
"76","2",241148889,241148889,1,"*",241106099,241150264,44166,"-",0,"inside",0,"ENSG00000115687","PASK"
"77","4",47031109,47031109,1,"*",46993723,47426447,432725,"+",0,"inside",0,"ENSG00000163288","GABRB1"
"78","16",28743389,28743389,1,"*",28341434,29370272,1028839,"+",0,"inside",0,"ENSG00000288630",""
"79","16",8712899,8712899,1,"*",8674596,8784575,109980,"+",0,"inside",0,"ENSG00000183044","ABAT"
"80","2",65421516,65421516,1,"*",65310851,65432637,121787,"-",0,"inside",0,"ENSG00000198369","SPRED2"
"81","16",8712896,8712896,1,"*",8674596,8784575,109980,"+",0,"inside",0,"ENSG00000183044","ABAT"
"82","10",110287108,110287108,1,"*",110207605,110287365,79761,"+",0,"inside",0,"ENSG00000119950","MXI1"
"83","3",39106851,39106851,1,"*",39096599,39107863,11265,"-",0,"inside",0,"ENSG00000114745","GORASP1"
"84","3",39106851,39106851,1,"*",39107680,39138903,31224,"+",828,"upstream",828,"ENSG00000168026","TTC21A"
"85","19",4038853,4038853,1,"*",4007736,4039386,31651,"+",0,"inside",0,"ENSG00000105229","PIAS4"
"86","18",15197868,15197868,1,"*",15196999,15197775,777,"-",92,"upstream",92,"ENSG00000265015",""
"87","6",157597152,157597152,1,"*",157381133,157678157,297025,"+",0,"inside",0,"ENSG00000175048","ZDHHC14"
