,seqnames,start
0,16,53434200
3,12,123601930
13,19,39307841
20,1,1333413
22,1,169427468
24,4,1713277
25,3,14125250
26,6,145836231
31,1,12540503
32,17,50835182
35,1,16677772
41,6,169751536
43,10,123149391
47,4,147714565
50,4,1767162
59,14,68795977
73,1,50416410
107,19,2329228
110,5,132737755
114,12,54107048
141,7,108385123
144,7,143052445
163,19,15401739
171,16,86722026
177,6,53349210
183,8,42502474
194,1,200147608
218,12,111293399
224,7,8262464
229,17,7854615
234,1,108692297
262,6,167824714
263,2,176128289
284,6,116877265
294,17,19716954
329,6,93419171
369,5,181052829
379,3,194141421
393,3,9810668
423,17,81886147
429,12,3492996
442,2,17931454
508,14,22981318
533,17,28381207
546,22,46624836
549,9,114397695
575,2,221573116
586,3,43996992
613,17,28473802
663,6,41408866
694,5,1067996
696,20,35542288
699,12,109131311
754,1,6599206
777,2,222312877
848,2,106160582
865,6,87723232
877,8,26574220
911,13,112969325
929,13,27969052
946,1,213978733
986,18,3879595
1040,7,67286240
1057,1,50423553
1152,17,4513829
1170,6,25042320
1229,1,214605779
1291,10,23174086
1309,8,125430192
1351,15,51829583
1489,2,195657265
1510,16,8712899
1627,12,663695
1723,7,154748615
1744,1,217137545
1764,1,8134281
1855,5,139763313
1888,18,15197868
1905,9,97849234
1916,6,157597152
1948,12,105107176
2006,15,32616199
2019,2,61017735
2189,2,165469104
2229,15,26868766
2244,22,16602522
2256,5,181246604
2271,22,20859611
2277,10,114178970
2278,7,97014374
2346,16,68257817
2357,19,48466825
2434,2,239401023
2495,6,26457893
2622,1,41382302
2638,2,23135573
3073,10,114527215
3160,20,62656790
3238,15,25054025
3334,2,163736344
3404,15,98840023
3420,16,89080767
3521,19,5061194
3598,12,49055280
3710,10,69361659
3746,1,31754176
3754,16,67909194
3792,5,151082834
3947,8,22221742
3968,19,36797803
3981,19,5838988
4102,19,10096070
4128,15,41231041
4153,5,1089392
4536,16,57115935
4586,21,36164625
4595,13,27036604
4598,14,102503914
4697,17,1618018
4735,3,65356969
4776,3,44761801
4792,2,241268505
4954,9,18437919
4994,8,100464375
5053,14,93789015
5071,2,101782377
5081,16,19875333
5177,1,155301420
5187,8,140098014
5325,2,196171135
5336,12,40103773
5461,1,7374110
5515,3,13637971
5594,1,145691388
5599,7,47392714
5733,19,44025134
5739,1,234770025
5753,12,99154659
5860,18,26547273
5946,7,2689278
6206,7,27114044
6241,2,197786774
6256,2,68122957
6298,8,13515581
6515,7,5496117
6552,17,42421746
6633,20,51750302
6647,1,26336624
6729,8,60281156
6825,10,69802558
6849,17,76015173
7234,12,121537439
7561,13,32311945
7822,16,4664793
7880,12,126442321
7939,16,75483154
7991,16,54283019
8224,9,137789197
8232,16,8713154
8298,6,25652470
8305,2,240672574
8314,13,112844136
8438,19,17405661
8444,12,27523764
8503,13,51478809
8624,21,26167788
8638,18,23231444
8666,2,133567325
8681,7,73588055
9101,1,50368631
9148,19,49594594
9181,17,7223290
9213,3,52495048
9266,19,45995057
9346,6,133242204
9871,12,263080
9875,2,118839839
10043,7,140526567
10067,22,38842571
10079,22,50581485
10101,22,41468878
10165,12,51955095
10171,19,29708683
10221,1,228650240
10490,1,31714755
10718,9,109318568
10727,5,1338225
10894,10,121609218
10911,2,202494444
10957,4,1209142
10962,19,35533974
10982,11,112241849
11232,8,23682295
11452,1,232869120
11492,7,158097479
11824,8,8891768
12015,1,183514970
12510,13,40666624
12524,21,42366888
12525,2,115163036
12625,12,51421299
12676,14,49862097
12851,5,114361790
12905,17,82230180
12913,22,35617628
13069,5,149063131
13105,11,72781901
13141,5,126465224
13154,12,6556258
13476,16,70688551
13593,16,2178349
13626,9,127714407
13714,9,77019121
13745,5,159442626
13803,2,176637576
13834,17,81084533
14363,10,70404058
14373,11,46392919
14380,11,2138623
14417,16,62035433
14530,7,1110470
14624,3,157120614
14695,2,223943535
14932,20,3712574
15250,2,74958458
15299,19,1584572
15306,3,59575235
15358,14,60642827
15384,12,131929234
15460,10,83983872
15565,7,94509597
15700,3,171809556
15803,20,13638906
15933,20,45813179
16141,5,138945164
16217,1,65309784
16423,19,14085606
16461,2,104864229
16728,7,76409891
16772,17,81553353
16796,7,93219656
17066,16,67013900
17141,1,63321999
17348,7,27118199
17351,3,183664938
17504,8,143229754
17620,7,1094343
17637,2,172465667
17668,4,75630858
17716,19,3468060
17859,11,12809916
17884,3,39810440
18050,19,53337227
18096,4,10018931
18187,2,176189578
18243,15,90717306
18369,1,86705268
18449,3,190387817
18487,16,52548160
18547,12,65963303
18595,6,45641201
18622,1,111279872
18752,6,107730889
18763,17,12789902
18835,16,2082722
18876,8,79783612
18901,19,49876140
19118,16,67346331
19135,22,48575181
19226,7,141551639
19339,15,59191971
19418,1,28527185
19512,3,9204817
19666,6,80004757
19684,19,1955396
19706,14,23570124
19916,17,42287474
20379,3,101724564
20421,11,67023567
20440,4,185112224
20568,2,105879816
20781,16,20348649
20789,7,4111121
20993,2,201949710
21014,2,236040805
21230,16,15434901
21245,1,155274016
21514,10,112876080
21711,10,30403689
21712,19,3548340
21732,9,16868893
21951,17,36943378
21991,5,142770836
22192,3,197747135
22247,1,53276650
22252,8,143559924
22346,2,217905514
22434,12,116508549
22540,11,61680175
22580,18,11751414
22703,22,19431954
22721,6,41547312
22867,3,171027175
22927,6,86937212
22964,4,151095985
22995,11,8080764
23086,1,45522049
23100,16,30604690
23125,3,49550812
23187,16,1550303
23347,8,143944899
23411,11,22668098
23498,11,62753583
23654,19,2244197
23766,3,190319906
24001,5,179907771
24372,10,4822444
24585,3,149812588
24755,3,185152620
24795,1,150272641
24849,1,55211142
25009,2,30230529
25369,18,23689446
25404,10,34916803
25459,15,31215604
25472,2,130756590
25543,7,71132472
25562,1,180478453
25565,2,240820608
25707,16,28063349
25731,17,81057576
25898,17,81463920
25918,1,109764020
26112,1,70353590
26215,16,694939
26221,17,63857163
26231,7,937070
26479,8,134478451
26531,11,77040325
26722,10,11018085
26887,1,10449997
27156,6,135851549
27272,11,65663397
27421,11,45885518
27500,21,34795711
27705,12,401310
27738,17,3813264
28133,2,169364836
28468,6,88045541
28489,11,43580886
28540,2,239009204
28942,16,68995555
29021,5,37832420
29104,4,140257315
29164,12,123271228
29351,16,84191474
29422,16,86819169
29482,18,79433464
29630,3,188317195
29700,1,115641766
29827,17,41009423
29855,6,5996660
29860,4,70197757
29894,21,36035110
29965,3,11558166
29977,2,3470081
29982,16,3157966
30021,5,33997220
30068,13,95552616
30377,16,88773436
30382,15,34514849
30427,18,76491813
30514,11,96112953
30535,2,241900517
30589,19,511113
30646,11,130813805
30719,7,151104702
30871,3,184180924
30907,1,205591869
30954,16,88077756
31064,16,69187865
31170,14,20684576
31252,1,17441563
31269,17,78844406
31339,11,66334675
31824,10,101030961
31915,15,57326507
32323,12,90938702
32482,16,2163439
32550,5,52989730
32584,11,76799279
32598,22,39350545
32793,2,177754635
33052,14,74493473
33077,22,42152801
33611,5,154937215
33747,8,29071561
33775,5,45696104
33807,16,74100996
33936,10,124091763
33977,6,35140337
34075,4,183241128
34122,4,38688721
34220,17,21099399
34424,1,26471085
34469,15,71251699
34552,8,94156063
34714,1,19338690
34875,1,153767611
34998,1,179025964
35174,14,99604219
35276,7,47540550
35289,9,117704362
35345,17,17901426
35359,11,134411848
35431,5,115545018
35605,2,226661651
36073,13,112983501
36125,2,230611603
36333,7,135749012
36407,11,126163002
36458,1,233613549
36473,19,38486154
36516,3,105368398
36659,16,89458794
36713,16,693476
37089,22,38866334
37096,6,135668257
37148,7,157011574
37282,7,5371357
37475,10,102657326
37594,16,87723427
37650,9,127450356
37770,16,19005889
37777,2,100820017
37844,10,124617361
37914,14,102510166
37924,16,73126227
38371,19,17841677
38558,5,1100094
38701,12,1530361
38706,17,34285665
38752,2,192194919
38989,11,65890409
39079,15,75029717
39158,16,30947994
39216,1,212488675
39453,14,93788005
39652,14,71487317
39775,1,172745133
40031,12,70606178
40095,2,11466151
40131,16,85424809
40245,7,23298631
40338,17,74752050
40482,16,86740991
40485,2,217905485
40708,6,41239638
40763,2,171160909
41314,11,64998026
41318,13,111402079
41375,13,34157076
41534,20,57092247
41692,17,8629441
41720,22,50578521
41986,18,78548486
42159,19,13836655
42213,1,31614686
