,seqnames,start
2,3,129183534
5,8,48978050
38,12,76329175
98,1,37766308
171,16,86722026
179,16,73062943
204,15,57218377
218,12,111293399
554,8,48513972
686,17,79183917
706,1,197413641
785,22,24423896
800,3,127030030
829,11,705892
938,16,85464436
941,8,141285675
981,13,45418538
1191,19,3097567
1238,19,709889
1330,12,54033600
1333,5,139701551
1335,16,83953190
1365,7,29884216
1389,3,193016552
1563,3,184561833
1687,16,56194586
1768,17,77055865
2203,1,33306431
2205,10,43396627
2210,8,24218707
2346,16,68257817
2407,7,24284148
2947,8,22366339
2998,19,49338201
3140,2,161418885
3182,16,89248696
3209,6,62285971
3218,5,472430
3344,3,108091869
3655,19,53520639
3708,16,53054762
3857,17,8408276
3859,1,9247319
3947,8,22221742
4148,5,1088327
4194,16,70346655
4226,17,8440152
4364,10,38095173
4470,10,89532645
4750,16,2858156
4767,10,122468962
4776,3,44761801
4792,2,241268505
4921,14,101781565
4923,12,114667485
5119,12,80708344
5187,8,140098014
5214,2,241659428
5240,9,14693650
5336,12,40103773
5634,15,85413691
5753,12,99154659
6037,16,50863360
6047,7,99439133
6060,10,6191811
6217,6,109093920
6241,2,197786774
6407,12,120529302
6552,17,42421746
6633,20,51750302
6689,18,77120159
6742,19,50879335
6839,2,153872687
6879,19,50333304
6999,16,81530587
7013,12,122975612
7062,7,44325690
7088,17,7839653
7092,11,134393385
7102,16,66934365
7287,6,155129748
7321,1,182953292
7338,7,711083
7571,5,134114326
7599,10,133124294
7769,3,46979906
7822,16,4664793
7956,12,4809835
8055,5,120616984
8060,15,65285857
8085,1,922982
8171,10,42898606
8259,10,8054405
8314,13,112844136
8411,10,120949516
8438,19,17405661
8513,16,11587743
8767,19,52008257
8916,5,132270700
9096,12,117045148
9109,3,194134979
9379,2,71560678
9506,4,103077132
9647,17,55564353
9663,8,120779033
9689,5,10649269
9723,10,114526846
9811,10,27259662
9945,17,6893622
10080,11,2929402
10324,8,6598661
10347,7,135748967
10412,3,59818709
10493,2,160269784
10706,12,65829938
10793,2,101742565
10840,6,4021264
10906,9,136133865
10982,11,112241849
10993,7,93206839
11200,8,7486949
11234,16,30759473
11317,16,83969122
11337,12,132324502
11364,1,51304015
11437,3,183253058
11501,7,24758037
11800,17,81085059
11814,1,42817514
11841,2,201698404
11939,1,46533043
12367,6,96836733
12534,5,132496860
12606,11,75320010
12625,12,51421299
12715,12,1663338
12726,14,75469965
12879,3,53495232
12903,4,11399549
12905,17,82230180
13417,16,53434238
13593,16,2178349
13698,10,110460713
13780,2,230848266
13803,2,176637576
14060,16,27776852
14373,11,46392919
14693,17,3720178
14827,2,164617484
15011,10,3755279
15250,2,74958458
15358,14,60642827
15391,19,2085287
15530,17,28577080
15700,3,171809556
15826,1,151282143
15933,20,45813179
15936,5,142613617
15948,19,36797389
16728,7,76409891
16764,20,62427539
17118,6,12012028
17137,19,19110507
17171,1,156641782
17249,16,88784126
17314,5,94618714
17343,20,1266882
17345,3,47782041
17377,17,48492885
17769,5,173230462
18101,16,67433848
18191,16,89136409
18431,6,1788296
18443,8,10404711
18477,19,1434904
18589,19,49851253
18669,12,114691206
18985,16,27217358
19050,15,33194857
19194,1,162021822
19290,11,64126981
19372,15,57326406
19512,3,9204817
19662,7,2362588
19714,8,42411209
19774,16,49839457
19840,1,43285833
19869,14,49621278
19914,11,16929237
20141,16,2176079
20192,5,132410370
20312,14,90396783
20418,17,81911583
20440,4,185112224
20518,16,67174825
20621,4,1532584
20731,1,248906108
20748,7,155643980
20828,16,58629740
20922,17,6660266
20993,2,201949710
21202,12,78864627
21213,7,27144331
21251,12,7959916
21432,6,109980276
21455,20,2536585
21977,12,52905127
21991,5,142770836
22079,16,2205395
22436,1,235984421
22660,1,6490798
22760,2,2543345
22787,2,171999366
22871,2,219279118
23019,12,8822600
23086,1,45522049
23127,14,75269387
23262,20,44957529
23302,7,153887754
23336,19,3198972
23371,5,2111995
23376,8,23068740
23463,5,36606654
23654,19,2244197
23766,3,190319906
23814,3,53046424
23836,11,128522488
23850,10,43323155
23871,16,67538692
23960,10,99329392
24104,5,59768697
24106,16,16062182
24126,6,62286227
24173,2,176144042
24479,1,90707213
24481,6,19837512
24591,1,2139877
24795,1,150272641
25247,11,1748160
25280,11,107841016
25298,2,100417817
25678,17,63939553
25990,5,124652054
26107,1,156501496
26172,5,957396
26369,17,82787359
26476,4,47705047
26709,1,193113634
26722,10,11018085
26880,6,7107703
26888,19,49142836
26975,1,202013276
26977,2,233060471
26998,10,127196870
27381,22,30247074
27679,17,65538507
27874,2,42339264
28030,16,82170796
28108,22,46331338
28250,6,39425914
28282,10,123429301
28361,16,56985843
28449,3,192408795
28507,3,133674396
28509,10,100065272
28528,1,211515303
28617,22,32194259
28675,3,170585851
28704,1,240493367
28808,16,69465172
28898,3,37994569
29081,3,52455307
29149,13,24263799
29224,7,134692194
29525,5,111758230
29567,5,76715302
29572,6,169423958
29766,11,62923779
29860,4,70197757
29976,17,36943575
29978,16,29808140
30005,2,8239869
30290,11,63671593
30409,1,26360683
30457,19,3201537
30482,10,95183806
30504,12,46678079
30535,2,241900517
30552,20,11917830
30610,6,54846590
30702,5,76407504
30719,7,151104702
30875,10,112585229
30933,6,104940316
31034,11,2701483
31170,14,20684576
31269,17,78844406
31366,10,88582981
31678,3,189806681
31709,2,84865749
31796,15,96357176
32016,3,183064777
32482,16,2163439
32486,17,63446712
32502,17,82931177
32583,16,23641516
32626,16,8752382
32884,3,134033031
32886,17,81080273
33069,9,137188434
33196,7,92633656
33220,4,151761747
33227,16,3192850
33263,3,58165528
33277,3,50322547
33594,8,41896654
33684,17,41965560
34089,10,87505566
34162,19,49552824
34179,19,49594875
34359,4,171813196
34535,14,21570870
34856,7,106661214
35106,10,121609167
35172,3,187197514
35335,16,85616768
35359,11,134411848
35422,5,65925936
35431,5,115545018
35587,17,42337551
35722,17,31859041
35750,22,24593281
35966,16,66844968
36241,5,80407574
36341,4,121951841
36516,3,105368398
36772,3,9878888
36820,2,156334446
36844,11,61828022
36868,2,144491003
37108,16,72093985
37160,1,2133326
37164,11,126115149
37294,2,74131688
37311,17,55420808
37472,19,30226310
37638,5,136031979
37683,13,95641628
37873,14,104158912
37958,13,30932133
37994,14,102905483
38001,4,40857232
38081,17,75272079
38117,7,5488548
38142,5,55219812
38635,2,95274283
38730,22,27795234
38833,7,45157730
38989,11,65890409
39074,3,38138383
39158,16,30947994
39538,12,123937712
39681,1,2402112
39938,17,6558982
39986,16,72089502
40171,17,78502861
40180,17,74893695
40338,17,74752050
40395,2,178112352
40417,16,68265182
40434,17,8467165
40482,16,86740991
40521,16,79600686
40757,10,117734983
40885,6,3750842
41114,11,66857370
41120,1,47225309
41173,16,19117906
41327,5,15936659
42088,16,3949187
42107,8,48978314
42372,2,105399282
42461,15,65792586
42533,2,113117656
42750,10,43648595
42859,22,38925606
42947,19,4406722
43138,1,220267755
43316,5,16179026
43663,17,81917510
43732,14,70686198
43807,2,95649099
43820,1,207801837
43930,13,112809890
44814,8,28386957
44864,2,176149898
44910,13,28100314
45044,5,141304114
45065,1,178871002
45099,1,222617830
45334,11,19240577
45648,7,135247931
45652,13,112837728
45837,6,170451622
45891,14,35336692
45984,17,59841321
46068,15,78348194
46089,1,47987068
46174,11,638076
46193,8,22355732
46377,7,1101705
46460,6,170423265
46508,3,49423088
46608,6,11855050
46659,11,2901577
46673,4,127730781
46856,18,58194805
46880,4,113383193
46933,2,168901270
46934,2,1621244
47000,15,85555380
47164,19,12825988
47314,10,132547473
47409,5,37834570
47734,13,112842405
47872,1,42658307
48260,2,157597889
48271,19,13747709
48330,8,37697387
48358,1,209937653
48451,5,7293042
48554,20,31608597
48574,11,65574791
48704,5,131672418
48878,3,121545431
49002,20,1226095
49263,19,45815660
49301,2,174025117
49323,5,1882406
49379,13,26557347
49409,19,55517516
49451,15,74812671
49639,1,36385594
49657,4,123774096
49864,1,159910537
49924,22,38794377
50002,16,89201632
50099,16,47143692
50137,12,116376497
50243,18,78784456
50317,10,14953958
50591,21,29940015
50909,4,82430300
50948,1,154558206
50963,17,11558255
51126,17,48995545
51215,11,626128
51414,11,430123
51675,12,107319639
51741,6,26199542
51867,13,111524083
51912,12,57234871
51928,19,55087075
51997,6,10400542
52104,4,87031021
52213,16,1549071
52272,19,855922
52290,10,101061913
52587,10,68407016
52702,16,27426579
53051,4,107989409
53227,19,47754698
53245,5,36876852
53279,2,200787629
53382,12,120369513
53626,20,1329356
53921,3,52454021
53975,10,133459837
54172,2,73075576
54335,5,59894107
54669,19,13001994
54805,15,72800870
54828,1,7704582
55173,16,15055697
55597,6,134740260
55674,2,130198113
55788,9,92878084
55874,2,162243615
56008,19,15457549
56172,1,175193211
56175,2,238157680
56422,20,63362075
56522,6,99613628
56559,17,80023864
56596,1,85708538
56640,7,102321656
56711,11,1748179
56907,5,67001150
56954,12,109714328
57058,17,82667142
57080,6,131860681
57085,11,126283064
57093,1,155295587
57229,5,59035059
57232,1,84754559
57334,11,83573862
57664,4,103077134
57774,19,860565
57882,11,49558522
58003,14,105045931
58138,19,51016837
58616,17,40093099
59044,7,29195170
59079,7,769441
59267,19,1555046
59284,16,2464930
59309,11,45665731
59349,4,26861750
59441,17,41807793
59480,3,149216054
59736,8,9905523
59769,4,15905866
59886,7,159010029
59887,16,66802145
59963,2,95295955
60048,2,217905547
60148,14,20684580
60297,7,27110412
60346,10,71658136
60347,22,22224248
60369,20,43667474
60428,3,57165505
60600,5,82859932
60653,13,53200900
60735,3,129616852
60740,6,11232892
60747,13,75481891
60786,13,73913398
60945,2,111494677
61121,16,27626198
61395,19,44448490
61444,11,46336012
61521,4,68182040
61627,10,45428230
61746,17,50199855
61863,2,74198622
61954,5,73299607
62180,19,51022382
62212,17,50345762
62552,4,73069236
62980,1,152037235
63057,2,100292175
63389,19,1423754
63470,6,26017711
63697,17,82230010
63806,6,98825731
63816,20,63348081
64039,16,62036315
64057,16,46689176
64327,3,14124827
64329,8,22275165
64491,2,238128857
64577,4,75630593
64609,13,75538844
64652,16,8961669
65030,3,124094749
65253,16,2008700
65499,17,38852945
65637,17,41836100
65776,12,93678002
65979,12,53218857
66113,20,31995035
66198,17,1078490
66550,17,8079352
66632,1,25618023
66691,8,144316230
66722,14,37595996
66795,7,27152437
66808,3,18443919
66816,6,100458809
67121,2,44291791
67197,2,63046805
67216,11,45665727
67242,5,129461320
67301,6,111483549
67376,14,105021235
67460,2,162184482
67500,4,727020
67618,1,218285224
67712,13,78608781
67787,5,31193233
67805,10,6144831
67992,19,22901423
67996,2,228181799
68425,13,114001691
69158,6,42971291
69237,11,6570836
69324,8,127795817
69361,2,127700825
69525,17,28227219
69568,10,68071617
69661,17,29109948
70079,19,424281
70088,17,82891413
70097,17,64263145
70101,1,24187454
70302,7,37449057
70533,12,20370209
70616,19,1851996
70687,5,865235
70922,17,81860654
70927,5,150946516
71179,19,3196208
71281,1,116534494
71292,19,10354035
71379,2,26758438
71387,6,57190236
71658,3,133474897
72136,6,53985531
72179,2,74648883
72191,8,115494435
72208,17,72120293
72426,20,62386992
72653,4,53591942
72702,3,152235085
72732,5,40685887
72860,13,112844100
72922,12,55727231
72997,5,3591878
73414,16,58684562
73452,2,10386327
73598,20,35092996
73653,1,153678671
73751,17,2700445
73763,18,12404042
73876,7,116218080
73899,8,1103157
74279,14,85529916
74560,8,78840838
74677,19,45717706
74776,20,35292392
74825,3,11136966
74912,5,174718505
75133,17,50767691
75265,3,4986725
75325,10,32958304
75390,11,72722393
75494,1,223364992
75565,15,52214166
76076,2,153871620
76142,1,118136667
76361,8,123208016
76369,7,131546898
76413,2,47691274
76490,12,46187416
76835,2,234954721
76874,3,52487914
76949,5,122078939
77264,7,151168204
77343,17,41914438
77377,13,113365369
77475,2,115161168
77586,12,6946520
77596,1,52686409
77624,11,102110436
77644,1,8212139
77818,17,1493785
78141,8,143246848
78374,14,70773166
78413,8,22274386
78436,15,84657920
78705,2,3449342
78798,13,77919455
79018,19,47755851
79093,8,28083888
79103,1,225428773
79386,1,1399423
79388,15,65245626
79407,8,24384596
79445,1,211353363
79607,7,64889072
79625,11,115217929
79683,17,63446931
79725,15,81323969
79771,2,241538749
79894,6,27680117
80051,20,49936316
80154,12,57238337
80170,15,28108032
80200,2,12718977
80213,2,174025201
80262,12,64781388
80465,22,30356318
80508,17,75364171
80550,12,12719752
80575,3,100492586
