"","seqnames","start","end","width","strand","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","ensembl_gene_id","gene_name"
"1","16",53434200,53434200,1,"*",53433977,53491648,57672,"+",0,"inside",0,"ENSG00000103479","RBL2"
"2","12",123601930,123601930,1,"*",123602077,123620943,18867,"+",146,"upstream",146,"ENSG00000111364","DDX55"
"3","19",39307841,39307841,1,"*",39306566,39320863,14298,"-",0,"inside",0,"ENSG00000128011","LRFN1"
"4","1",1333413,1333413,1,"*",1331280,1335314,4035,"+",0,"inside",0,"ENSG00000169962","TAS1R3"
"5","1",169427468,169427468,1,"*",169394870,169460669,65800,"-",0,"inside",0,"ENSG00000117477","CCDC181"
"6","4",1713277,1713277,1,"*",1692731,1712344,19614,"-",932,"upstream",932,"ENSG00000163950","SLBP"
"7","4",1713277,1713277,1,"*",1712858,1745171,32314,"+",0,"inside",0,"ENSG00000013810","TACC3"
"8","3",14125250,14125250,1,"*",14112077,14124870,12794,"-",379,"upstream",379,"ENSG00000163528","CHCHD4"
"9","3",14125250,14125250,1,"*",14125015,14143680,18666,"+",0,"inside",0,"ENSG00000170876","TMEM43"
"10","6",145836231,145836231,1,"*",145799409,145887430,88022,"+",0,"inside",0,"ENSG00000235652","FBXO30-DT"
"11","17",50835182,50835182,1,"*",50834650,50842353,7704,"+",0,"inside",0,"ENSG00000173714","WFIKKN2"
"12","6",169751536,169751536,1,"*",169751622,169781600,29979,"+",85,"upstream",85,"ENSG00000130023","ERMARD"
"13","6",169751536,169751536,1,"*",169740109,169751587,11479,"-",0,"inside",0,"ENSG00000184786","DYNLT2"
"14","10",123149391,123149391,1,"*",123148136,123150672,2537,"+",0,"inside",0,"ENSG00000188816","HMX2"
"15","14",68795977,68795977,1,"*",68787660,68796253,8594,"-",0,"inside",0,"ENSG00000185650","ZFP36L1"
"16","19",2329228,2329228,1,"*",2269525,2341172,71648,"+",0,"inside",0,"ENSG00000273734",""
"17","19",2329228,2329228,1,"*",2321520,2328611,7092,"-",616,"upstream",616,"ENSG00000130332","LSM7"
"18","19",2329228,2329228,1,"*",2328615,2355095,26481,"+",0,"inside",0,"ENSG00000005206","SPPL2B"
"19","5",132737755,132737755,1,"*",132692628,132737638,45011,"-",116,"upstream",116,"ENSG00000131437","KIF3A"
"20","12",54107048,54107048,1,"*",54058254,54122235,63982,"+",0,"inside",0,"ENSG00000248265","FLJ12825"
"21","12",54107048,54107048,1,"*",54085132,54125992,40861,"-",0,"inside",0,"ENSG00000250432","FAM242C"
"22","7",108385123,108385123,1,"*",108147623,108456717,309095,"-",0,"inside",0,"ENSG00000091129","NRCAM"
"23","7",143052445,143052445,1,"*",143052341,143053282,942,"+",0,"inside",0,"ENSG00000225781","OR6V1"
"24","19",15401739,15401739,1,"*",15380050,15419141,39092,"-",0,"inside",0,"ENSG00000011243","AKAP8L"
"25","16",86722026,86722026,1,"*",86710122,86742083,31962,"+",0,"inside",0,"ENSG00000261175","LINC02188"
"26","16",86722026,86722026,1,"*",86720575,86722042,1468,"-",0,"inside",0,"ENSG00000260026","LINC02189"
"27","6",53349210,53349210,1,"*",53267398,53349179,81782,"-",30,"upstream",30,"ENSG00000012660","ELOVL5"
"28","6",53349210,53349210,1,"*",53350158,53350705,548,"+",947,"upstream",947,"ENSG00000271367",""
"29","8",42502474,42502474,1,"*",42416475,42541926,125452,"-",0,"inside",0,"ENSG00000168575","SLC20A2"
"30","1",200147608,200147608,1,"*",200027614,200177420,149807,"+",0,"inside",0,"ENSG00000116833","NR5A2"
"31","1",200147608,200147608,1,"*",200147531,200148279,749,"-",0,"inside",0,"ENSG00000229220",""
"32","12",111293399,111293399,1,"*",111034165,111350554,316390,"+",0,"inside",0,"ENSG00000111249","CUX2"
"33","7",8262464,8262464,1,"*",8113184,8262687,149504,"-",0,"inside",0,"ENSG00000003147","ICA1"
"34","7",8262464,8262464,1,"*",8262233,8262821,589,"+",0,"inside",0,"ENSG00000244239",""
"35","7",8262464,8262464,1,"*",8262264,8344516,82253,"+",0,"inside",0,"ENSG00000229970",""
"36","17",7854615,7854615,1,"*",7855066,7856099,1034,"+",450,"upstream",450,"ENSG00000167874","TMEM88"
"37","17",7854615,7854615,1,"*",7834217,7854796,20580,"+",0,"inside",0,"ENSG00000132510","KDM6B"
"38","1",108692297,108692297,1,"*",108692310,108702928,10619,"+",12,"upstream",12,"ENSG00000134186","PRPF38B"
"39","6",167824714,167824714,1,"*",167796647,167825145,28499,"+",0,"inside",0,"ENSG00000285212",""
"40","6",167824714,167824714,1,"*",167822103,167826812,4710,"-",0,"inside",0,"ENSG00000198221","AFDN-DT"
"41","2",176128289,176128289,1,"*",176121611,176137098,15488,"-",0,"inside",0,"ENSG00000237380","HOXD-AS2"
"42","2",176128289,176128289,1,"*",176129694,176132695,3002,"+",1404,"upstream",1404,"ENSG00000175879","HOXD8"
"43","6",116877265,116877265,1,"*",116877212,116932161,54950,"+",0,"inside",0,"ENSG00000185002","RFX6"
"44","17",19716954,19716954,1,"*",19678288,19718979,40692,"-",0,"inside",0,"ENSG00000180638","SLC47A2"
