"","seqnames","start","end","width","strand","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","ensembl_gene_id","gene_name"
"1","3",129183534,129183534,1,"*",129167827,129183922,16096,"-",0,"inside",0,"ENSG00000169714","CNBP"
"2","1",37766308,37766308,1,"*",37713880,37765133,51254,"-",1174,"upstream",1174,"ENSG00000183317","EPHA10"
"3","16",86722026,86722026,1,"*",86710122,86742083,31962,"+",0,"inside",0,"ENSG00000261175","LINC02188"
"4","16",86722026,86722026,1,"*",86720575,86722042,1468,"-",0,"inside",0,"ENSG00000260026","LINC02189"
"5","16",73062943,73062943,1,"*",72782885,73891871,1108987,"-",0,"inside",0,"ENSG00000140836","ZFHX3"
"6","15",57218377,57218377,1,"*",56918623,57299281,380659,"+",0,"inside",0,"ENSG00000140262","TCF12"
"7","12",111293399,111293399,1,"*",111034165,111350554,316390,"+",0,"inside",0,"ENSG00000111249","CUX2"
"8","17",79183917,79183917,1,"*",79089345,79516148,426804,"-",0,"inside",0,"ENSG00000167281","RBFOX3"
"9","1",197413641,197413641,1,"*",197268204,197478455,210252,"+",0,"inside",0,"ENSG00000134376","CRB1"
"10","22",24423896,24423896,1,"*",24270898,24442356,171459,"+",0,"inside",0,"ENSG00000258555","SPECC1L-ADORA2A"
"11","22",24423896,24423896,1,"*",24417879,24442357,24479,"+",0,"inside",0,"ENSG00000128271","ADORA2A"
"12","3",127030030,127030030,1,"*",126982693,127037389,54697,"+",0,"inside",0,"ENSG00000114554","PLXNA1"
"13","11",705892,705892,1,"*",694438,727727,33290,"+",0,"inside",0,"ENSG00000177106","EPS8L2"
"14","11",705892,705892,1,"*",644233,707118,62886,"-",0,"inside",0,"ENSG00000177030","DEAF1"
"15","16",85464436,85464436,1,"*",85169525,85676204,506680,"+",0,"inside",0,"ENSG00000131149","GSE1"
"16","8",141285675,141285675,1,"*",141207166,141308305,101140,"-",0,"inside",0,"ENSG00000022567","SLC45A4"
"17","8",141285675,141285675,1,"*",141278228,141292862,14635,"+",0,"inside",0,"ENSG00000254197",""
"18","13",45418538,45418538,1,"*",45393316,45418455,25140,"-",82,"upstream",82,"ENSG00000174032","SLC25A30"
"19","13",45418538,45418538,1,"*",45418162,45420371,2210,"+",0,"inside",0,"ENSG00000251015","SLC25A30-AS1"
"20","19",3097567,3097567,1,"*",3094362,3123999,29638,"+",0,"inside",0,"ENSG00000088256","GNA11"
"21","19",709889,709889,1,"*",708935,748329,39395,"+",0,"inside",0,"ENSG00000099864","PALM"
"22","12",54033600,54033600,1,"*",54017110,54035361,18252,"+",0,"inside",0,"ENSG00000273046",""
"23","12",54033600,54033600,1,"*",54016931,54056030,39100,"+",0,"inside",0,"ENSG00000198353","HOXC4"
"24","12",54033600,54033600,1,"*",53985845,54034888,49044,"+",0,"inside",0,"ENSG00000273049",""
"25","12",54033600,54033600,1,"*",54033950,54034045,96,"+",349,"upstream",349,"ENSG00000207571","MIR615"
"26","12",54033600,54033600,1,"*",54033050,54035361,2312,"+",0,"inside",0,"ENSG00000172789","HOXC5"
"27","5",139701551,139701551,1,"*",139684645,139745010,60366,"+",0,"inside",0,"ENSG00000249526",""
"28","16",83953190,83953190,1,"*",83931311,83966332,35022,"+",0,"inside",0,"ENSG00000140961","OSGIN1"
"29","7",29884216,29884216,1,"*",29806486,29917066,110581,"+",0,"inside",0,"ENSG00000122574","WIPF3"
"30","3",184561833,184561833,1,"*",184561785,184582408,20624,"+",0,"inside",0,"ENSG00000182580","EPHB3"
"31","16",56194586,56194586,1,"*",56191390,56357444,166055,"+",0,"inside",0,"ENSG00000087258","GNAO1"
"32","16",56194586,56194586,1,"*",56192614,56194518,1905,"-",67,"upstream",67,"ENSG00000261439","GNAO1-AS1"
"33","1",33306431,33306431,1,"*",33307348,33349245,41898,"+",916,"upstream",916,"ENSG00000225313",""
"34","10",43396627,43396627,1,"*",43385617,43409186,23570,"-",0,"inside",0,"ENSG00000169813","HNRNPF"
"35","16",68257817,68257817,1,"*",68245304,68261058,15755,"+",0,"inside",0,"ENSG00000103066","PLA2G15"
"36","16",68257817,68257817,1,"*",68256162,68260443,4282,"-",0,"inside",0,"ENSG00000260441",""
"37","7",24284148,24284148,1,"*",24284188,24291862,7675,"+",39,"upstream",39,"ENSG00000122585","NPY"
"38","8",22366339,22366339,1,"*",22367278,22434129,66852,"+",938,"upstream",938,"ENSG00000104635","SLC39A14"
"39","19",49338201,49338201,1,"*",49331525,49340303,8779,"-",0,"inside",0,"ENSG00000197813",""
"40","19",49338201,49338201,1,"*",49335171,49343335,8165,"+",0,"inside",0,"ENSG00000104894","CD37"
"41","2",161418885,161418885,1,"*",161416297,161425870,9574,"+",0,"inside",0,"ENSG00000136535","TBR1"
"42","6",62285971,62285971,1,"*",61679961,62286225,606265,"-",0,"inside",0,"ENSG00000112232","KHDRBS2"
"43","5",472430,472430,1,"*",466124,473098,6975,"-",0,"inside",0,"ENSG00000188242","PP7080"
"44","5",472430,472430,1,"*",470456,524449,53994,"-",0,"inside",0,"ENSG00000066230","SLC9A3"
"45","5",472430,472430,1,"*",473236,480884,7649,"+",805,"upstream",805,"ENSG00000225138","SLC9A3-AS1"
"46","3",108091869,108091869,1,"*",108043091,108091862,48772,"-",6,"upstream",6,"ENSG00000196776","CD47"
"47","19",53520639,53520639,1,"*",53519527,53580269,60743,"+",0,"inside",0,"ENSG00000130844","ZNF331"
"48","16",53054762,53054762,1,"*",53054991,53329150,274160,"+",228,"upstream",228,"ENSG00000177200","CHD9"
"49","1",9247319,9247319,1,"*",9234774,9271337,36564,"+",0,"inside",0,"ENSG00000049239","H6PD"
"50","8",22221742,22221742,1,"*",22219703,22232101,12399,"-",0,"inside",0,"ENSG00000168490","PHYHIP"
"51","5",1088327,1088327,1,"*",1050384,1112063,61680,"-",0,"inside",0,"ENSG00000113504","SLC12A7"
"52","16",70346655,70346655,1,"*",70299194,70372582,73389,"+",0,"inside",0,"ENSG00000260537",""
"53","16",70346655,70346655,1,"*",70315442,70346806,31365,"-",0,"inside",0,"ENSG00000261777","DDX19A-DT"
"54","16",70346655,70346655,1,"*",70346861,70373383,26523,"+",205,"upstream",205,"ENSG00000168872","DDX19A"
"55","17",8440152,8440152,1,"*",8413131,8490411,77281,"+",0,"inside",0,"ENSG00000166579","NDEL1"
"56","10",38095173,38095173,1,"*",38094334,38150293,55960,"+",0,"inside",0,"ENSG00000075407","ZNF37A"
"57","10",38095173,38095173,1,"*",38094368,38360098,265731,"+",0,"inside",0,"ENSG00000283930","PLD5P1"
"58","10",89532645,89532645,1,"*",89430299,89556641,126343,"-",0,"inside",0,"ENSG00000152779","SLC16A12"
"59","16",2858156,2858156,1,"*",2852730,2858170,5441,"-",0,"inside",0,"ENSG00000005001","PRSS22"
"60","16",2858156,2858156,1,"*",2857898,2859726,1829,"+",0,"inside",0,"ENSG00000263325",""
"61","10",122468962,122468962,1,"*",122458551,122514907,56357,"+",0,"inside",0,"ENSG00000166033","HTRA1"
"62","3",44761801,44761801,1,"*",44737661,44761619,23959,"-",181,"upstream",181,"ENSG00000163807","KIAA1143"
"63","3",44761801,44761801,1,"*",44761721,44873376,111656,"+",0,"inside",0,"ENSG00000163808","KIF15"
"64","2",241268505,241268505,1,"*",241227264,241317061,89798,"-",0,"inside",0,"ENSG00000115677","HDLBP"
"65","14",101781565,101781565,1,"*",101761798,101927989,166192,"+",0,"inside",0,"ENSG00000078304","PPP2R5C"
"66","12",80708344,80708344,1,"*",80707634,80709474,1841,"+",0,"inside",0,"ENSG00000111046","MYF6"
"67","8",140098014,140098014,1,"*",139727725,140458579,730855,"-",0,"inside",0,"ENSG00000167632","TRAPPC9"
"68","8",140098014,140098014,1,"*",140094894,140100543,5650,"-",0,"inside",0,"ENSG00000282164","PEG13"
"69","2",241659428,241659428,1,"*",241637213,241673857,36645,"+",0,"inside",0,"ENSG00000168397","ATG4B"
"70","9",14693650,14693650,1,"*",14611071,14693432,82362,"-",217,"upstream",217,"ENSG00000175893","ZDHHC21"
"71","12",40103773,40103773,1,"*",39755025,40106089,351065,"-",0,"inside",0,"ENSG00000151229","SLC2A13"
"72","15",85413691,85413691,1,"*",85380571,85749358,368788,"+",0,"inside",0,"ENSG00000170776","AKAP13"
"73","12",99154659,99154659,1,"*",98726457,99984654,1258198,"-",0,"inside",0,"ENSG00000185046","ANKS1B"
"74","16",50863360,50863360,1,"*",50840017,50901063,61047,"+",0,"inside",0,"ENSG00000261241","LINC02128"
"75","16",50863360,50863360,1,"*",50856614,50879278,22665,"-",0,"inside",0,"ENSG00000260042",""
"76","7",99439133,99439133,1,"*",99419749,99466197,46449,"-",0,"inside",0,"ENSG00000248919","ATP5MF-PTCD1"
"77","7",99439133,99439133,1,"*",99416739,99466163,49425,"-",0,"inside",0,"ENSG00000106246","PTCD1"
"78","7",99439133,99439133,1,"*",99438922,99457373,18452,"+",0,"inside",0,"ENSG00000160917","CPSF4"
"79","10",6191811,6191811,1,"*",6144934,6254644,109711,"+",0,"inside",0,"ENSG00000170525","PFKFB3"
"80","6",109093920,109093920,1,"*",108986437,109094819,108383,"-",0,"inside",0,"ENSG00000080546","SESN1"
"81","6",109093920,109093920,1,"*",109095110,109174418,79309,"+",1189,"upstream",1189,"ENSG00000183137","CEP57L1"
"82","2",197786774,197786774,1,"*",197726879,197786762,59884,"-",11,"upstream",11,"ENSG00000152430","BOLL"
"83","12",120529302,120529302,1,"*",120503279,120534434,31156,"-",0,"inside",0,"ENSG00000110871","COQ5"
"84","17",42421746,42421746,1,"*",42402449,42423256,20808,"-",0,"inside",0,"ENSG00000177469","CAVIN1"
"85","20",51750302,51750302,1,"*",51596514,51768390,171877,"-",0,"inside",0,"ENSG00000054793","ATP9A"
"86","18",77120159,77120159,1,"*",76978827,77133683,154857,"-",0,"inside",0,"ENSG00000197971","MBP"
"87","19",50879335,50879335,1,"*",50861568,50880567,19000,"+",0,"inside",0,"ENSG00000167751","KLK2"
"88","2",153872687,153872687,1,"*",153871922,154453979,582058,"+",0,"inside",0,"ENSG00000144278","GALNT13"
"89","19",50333304,50333304,1,"*",50311937,50333515,21579,"-",0,"inside",0,"ENSG00000131398","KCNC3"
"90","19",50333304,50333304,1,"*",50329653,50383388,53736,"+",0,"inside",0,"ENSG00000131408","NR1H2"
"91","16",81530587,81530587,1,"*",81444808,81711762,266955,"+",0,"inside",0,"ENSG00000153815","CMIP"
"92","12",122975612,122975612,1,"*",122920951,122981649,60699,"-",0,"inside",0,"ENSG00000150967","ABCB9"
"93","12",122975612,122975612,1,"*",122974580,122980043,5464,"+",0,"inside",0,"ENSG00000111325","OGFOD2"
"94","12",122975612,122975612,1,"*",122975320,122982907,7588,"+",0,"inside",0,"ENSG00000256028",""
"95","7",44325690,44325690,1,"*",44217150,44334577,117428,"-",0,"inside",0,"ENSG00000058404","CAMK2B"
"96","17",7839653,7839653,1,"*",7834217,7854796,20580,"+",0,"inside",0,"ENSG00000132510","KDM6B"
"97","11",134393385,134393385,1,"*",134378504,134412242,33739,"-",0,"inside",0,"ENSG00000109956","B3GAT1"
"98","16",66934365,66934365,1,"*",66932065,66934423,2359,"-",0,"inside",0,"ENSG00000166595","CIAO2B"
"99","16",66934365,66934365,1,"*",66934444,66945096,10653,"+",78,"upstream",78,"ENSG00000172831","CES2"
"100","6",155129748,155129748,1,"*",154832697,155257723,425027,"+",0,"inside",0,"ENSG00000146426","TIAM2"
"101","1",182953292,182953292,1,"*",182899865,182953525,53661,"-",0,"inside",0,"ENSG00000157060","SHCBP1L"
"102","7",711083,711083,1,"*",549197,727650,178454,"-",0,"inside",0,"ENSG00000188191","PRKAR1B"
"103","5",134114326,134114326,1,"*",134114681,134151865,37185,"+",354,"upstream",354,"ENSG00000081059","TCF7"
"104","10",133124294,133124294,1,"*",133087924,133131675,43752,"+",0,"inside",0,"ENSG00000197177","ADGRA1"
"105","3",46979906,46979906,1,"*",46979666,47009704,30039,"+",0,"inside",0,"ENSG00000160796","NBEAL2"
"106","3",46979906,46979906,1,"*",46921726,46982010,60285,"-",0,"inside",0,"ENSG00000160799","CCDC12"
"107","16",4664793,4664793,1,"*",4616493,4690974,74482,"+",0,"inside",0,"ENSG00000102858","MGRN1"
"108","12",4809835,4809835,1,"*",4809176,4813412,4237,"+",0,"inside",0,"ENSG00000151079","KCNA6"
"109","12",4809835,4809835,1,"*",4720400,4851927,131528,"+",0,"inside",0,"ENSG00000130035","GALNT8"
"110","12",4809835,4809835,1,"*",4804499,4830747,26249,"-",0,"inside",0,"ENSG00000256988",""
"111","5",120616984,120616984,1,"*",120464300,120687332,223033,"+",0,"inside",0,"ENSG00000184838","PRR16"
"112","15",65285857,65285857,1,"*",65234460,65300618,66159,"-",0,"inside",0,"ENSG00000138617","PARP16"
